SPEC_ID,NAME,RA,DEC,Z,Quality,HB_score,HA_score,OIII_score,HB_width,HA_width,OIII_width,Std,Two_mad,Three_mad,Good_twomad,Good_threemad,Narrow_2si,Narrow_3si,Narrow_3si_6
33600,g0544381-324430,86.15870833,-32.74166667,0.038102,4,0.472855937,1.405651803,0.292709881,4.26804522,5.579583208,0.094034157,0.095361056,0.079265477,0.118898215,true,true,true,true,true
33601,g0544254-330328,86.106,-33.05763889,0.059712,4,0.268153562,0.124049867,0.195438872,4.662013849,3.699549665,0.060323502,0.086460362,0.076965073,0.115447609,true,true,true,true,true
33611,g0546596-314752,86.74820833,-31.79766667,0.093923,4,0.183272912,0.323657752,0.827396223,3.18085773,3.552971255,0.395244698,0.098758929,0.073634626,0.11045194,true,true,true,true,true
33615,g0549023-312929,87.259375,-31.49125,0.033224,4,0.392231639,0.195024136,0.125576584,4.611438484,3.434869842,0.048232181,0.093936585,0.062619796,0.093929694,true,true,true,true,true
33623,g0553430-320545,88.429,-32.09591667,0.009606,4,0.372066799,0.860919568,1.280797134,4.291497357,5.521594354,0.620932577,0.087048586,0.059381444,0.089072166,true,true,true,true,true
33625,g0554518-314616,88.71570833,-31.77105556,0.037576,4,0.331885232,0.77706864,0.30036467,4.497491229,6.436076488,0.122809594,0.140025682,0.091511192,0.137266789,true,true,true,true,false
33626,g0555573-313418,88.98858333,-31.57161111,0.032277,4,0.862499996,0.190493395,0.390111463,4.323495389,3.303896368,4.260920653,0.152282131,0.12601687,0.189025305,true,true,true,true,true
33628,g0556013-315418,89.00520833,-31.90488889,0.023797,4,0.318546393,0.932146134,0.207177392,4.139542238,5.744819549,0.057200214,0.110680328,0.093176755,0.139765132,true,true,true,true,true
33631,g0559276-314325,89.86483333,-31.72361111,0.031608,4,1.282241014,0.211654891,0.926458773,4.508355238,2.845194301,0.451787748,0.117924756,0.099060225,0.148590338,true,true,true,true,true
33640,g0555036-330852,88.76479167,-33.14775,0.036146,4,0.954741007,0.262421556,0.447529896,4.907703754,2.605549147,0.205041081,0.080126947,0.068439324,0.102658986,true,true,true,true,true
33644,g0551065-331801,87.77720833,-33.30016667,0.056065,4,0.234529204,0.128963149,0.114867906,4.961394875,5.191902982,0.015669169,0.088704299,0.075853254,0.113779881,true,true,true,true,true
33646,g0600384-335950,90.160125,-33.99733333,0.049179,4,1.513448311,2.075795281,3.217582978,4.597147073,5.773066755,5.33529902,0.188558542,0.114368222,0.171552332,true,true,true,true,true
33677,g0544383-434609,86.1595,-43.76911111,0.047291,4,0.575963003,0.249958872,0.262610607,4.093209816,3.192968859,0.11226535,0.084611986,0.076859095,0.115288642,true,true,true,true,true
33682,g0541166-434408,85.31916667,-43.73547222,0.035519,4,0.787360348,0.351092012,0.445015504,4.864352042,3.869799345,0.188392309,0.101202917,0.097744562,0.146616843,true,true,true,true,true
33684,g0542395-430544,85.66454167,-43.0955,0.03907,4,0.653157332,0.563556698,0.440980814,4.362237671,3.713091908,0.208604865,0.080138803,0.067654897,0.101482346,true,true,true,true,true
33706,g0540047-413918,85.0195,-41.65491667,0.037179,4,0.561489891,0.455433305,0.298231503,4.784425387,2.911477532,0.125183993,0.076345189,0.067536877,0.101305315,true,true,true,true,true
33707,g0539146-414417,84.81091667,-41.73805556,0.044889,4,0.349281961,0.270670714,0.571285204,4.846791899,3.292313987,0.258053131,0.086556596,0.075749516,0.113624274,true,true,true,true,true
33728,g0550091-415537,87.53770833,-41.92683333,0.036453,4,0.575743645,0.700154047,0.635322556,5.206903749,2.596822105,0.305305661,0.081688609,0.059159669,0.088739504,true,true,true,true,true
33742,g0554490-394606,88.70420833,-39.76838889,0.016044,4,0.921485801,0.22936539,1.05295582,4.448577826,2.891897402,4.789161683,0.091603009,0.077451132,0.116176697,true,true,true,true,true
33748,g0555088-411416,88.78666667,-41.23780556,0.034994,4,0.261428411,0.397432513,0.27096915,3.880401572,3.496881479,0.113818421,0.093098543,0.07210142,0.10815213,true,true,true,true,true
33759,g0558226-414727,89.59433333,-41.79083333,0.035225,4,0.670662503,0.273721438,0.263718538,4.448742901,2.984337847,0.077576911,0.174801662,0.166340343,0.249510514,true,true,true,true,true
33767,g0558561-423918,89.73370833,-42.65497222,0.080745,4,0.360390623,0.263178525,0.203811392,5.045993301,4.315601681,0.064539697,0.121285334,0.116799311,0.175198966,true,true,true,true,true
33788,g0549123-425024,87.30116667,-42.83994444,0.042352,4,2.437489337,0.516173772,3.430493391,4.297318468,3.118627269,1.705312847,0.209692179,0.148527807,0.222791711,true,true,true,true,true
33798,g0541374-470329,85.406,-47.05816667,0.042177,4,0.438864003,0.201690415,0.278861207,3.802610077,4.578515232,0.130831306,0.095807922,0.089141008,0.133711512,true,true,true,true,true
33799,g0540156-463018,85.06479167,-46.50497222,0.027228,4,0.541813341,0.207813412,0.179994505,3.766676837,3.649011508,0.064475533,0.079462259,0.07371911,0.110578664,true,true,true,true,true
33801,g0536494-470602,84.206,-47.10041667,0.036046,4,0.467502802,0.367500169,0.212986256,4.36819261,3.689488788,0.064630182,0.123689448,0.120145817,0.180218725,true,true,true,true,true
33806,g0539535-461718,84.973,-46.28822222,0.051537,4,0.200617745,0.13826984,0.160280364,4.098042691,4.377298107,0.041005567,0.0916706,0.086201683,0.129302524,true,true,true,true,true
33823,g0542035-451525,85.51466667,-45.25694444,0.052348,4,0.467573519,2.161812881,0.47462737,4.736665562,5.688626175,0.203467093,0.14471253,0.138291622,0.207437433,true,true,true,true,true
33826,g0538577-442059,84.7405,-44.34969444,0.024349,4,0.324137501,0.287190603,0.186068391,3.346652501,3.876754892,0.068406016,0.102749816,0.099066283,0.148599425,true,true,true,true,true
33827,g0546493-455931,86.70541667,-45.99202778,0.035859,4,2.388841903,0.403081594,5.634713401,4.507559657,3.773181452,2.808111155,0.260333591,0.175492257,0.263238385,true,true,true,true,true
33835,g0544581-445258,86.24220833,-44.88266667,0.04399,4,0.370653507,0.231337204,0.486414508,4.316118032,4.092820686,0.188734042,0.130641917,0.126398647,0.18959797,true,true,true,true,true
33839,g0545314-435833,86.380625,-43.97572222,0.044141,4,0.574963788,0.346282537,0.195932101,3.765275132,4.454993312,0.071251987,0.082141778,0.075761921,0.113642882,true,true,true,true,true
33867,g0559257-451246,89.85720833,-45.21263889,0.040063,4,0.401551134,0.389892364,0.155991568,4.267908281,3.417596252,0.050264917,0.095387781,0.093427348,0.140141022,true,true,true,true,true
33877,g0601502-460143,90.459125,-46.02866667,0.032603,4,0.703581535,0.345792231,0.125960428,4.17764555,3.844447937,0.040085445,0.082480303,0.08351364,0.12527046,true,true,true,true,true
33878,g0604057-460733,91.02391667,-46.12575,0.046824,4,0.459229629,0.238113239,0.170070798,3.841709095,4.022586292,0.057240309,0.07452387,0.073278969,0.109918453,true,true,true,true,true
33888,g0557538-463934,89.47416667,-46.65938889,0.041741,4,2.550445967,0.379496591,4.442075698,4.277052345,3.125988596,2.226647147,0.20541548,0.133240253,0.199860379,true,true,true,true,true
33910,g0547055-211114,86.77279167,-21.18722222,0.040816,4,1.973985568,0.501080257,2.859354201,4.442408243,3.900168532,1.443846701,0.35009947,0.305280253,0.45792038,true,true,true,true,true
33912,g0548003-205421,87.00108333,-20.90594444,0.073975,4,1.518560447,0.953534276,8.195114756,5.996245732,0.672198807,3.952527422,0.46995088,0.290300211,0.435450317,true,true,true,true,true
33919,g0546317-195902,86.63208333,-19.98394444,0.055596,4,1.808037178,0.694860855,1.45239346,4.276670824,4.81783038,0.693989176,0.190144582,0.190987238,0.286480856,true,true,true,true,true
33921,g0541190-200030,85.329125,-20.00830556,0.114872,4,0.473679298,0.351048209,1.519721426,5.160590139,2.598954492,0.691636468,0.252237397,0.23023826,0.34535739,true,true,true,true,true
33922,g0543374-194851,85.90591667,-19.81416667,0.025637,4,1.208988136,0.576378249,0.791113626,4.807989981,2.887485872,0.367268292,0.096078532,0.088249462,0.132374194,true,true,true,true,true
33932,g0543375-190701,85.90633333,-19.11697222,0.009048,4,1.000283655,0.244359959,2.025674549,4.490520678,3.015562098,0.993360571,0.099510167,0.052328357,0.078492536,true,true,true,true,true
33935,g0544319-190927,86.13291667,-19.1575,0.026898,4,3.72836376,0.275640025,11.07507459,4.345498928,2.089703146,4.493762708,0.425268248,0.147280748,0.220921123,true,true,true,true,true
33937,g0543138-183821,85.807625,-18.63927778,0.006919,4,0.615001375,1.840419323,0.914990232,3.631019125,4.618210258,0.413304632,0.175674933,0.161609518,0.242414277,true,true,true,true,true
33944,g0551180-200548,87.82483333,-20.09652778,0.053668,4,1.327018436,3.237422752,0.782302845,5.989650365,6.74576909,0.396607694,0.105559113,0.101159003,0.151738504,true,true,true,true,false
